FinalID,Model,b0,E,tl,th,el,eh,k,AIC
MTD2242,SI,2.71966118942,0.8331979724,280.93459274,296.757475267,9.8273700939e-05,5.70216556182,8.617e-05,11.3045686799
MTD2243,SI,17629.6802345,-3.68789171461,298.079894564,304.901250728,-4.48767336775,87.9175718811,8.617e-05,-0.118514127449
MTD2244,SI,2.96126685437,0.702934540197,260.526888679,297.999222353,9.5821851942e-07,6.58531261761,8.617e-05,8.35300973416
MTD2245,SI,1.27079879899,0.976732348915,291.961928576,319.722458336,0.830745862761,6.56020650623,8.617e-05,29.0827795109
MTD2246,SI,2.74393849528,0.764511121747,275.708100498,296.762396539,-7.8953027649e-07,4.52129441318,8.617e-05,11.3826521043
MTD2247,SI,3.00946337629,0.693587562997,268.227795914,297.313128236,0.000279165791252,6.53744225369,8.617e-05,13.2764775589
MTD2248,SI,2.92283723767,1.46357350433,281.327100955,296.189538441,0.740670061652,6.70191352064,8.617e-05,8.36116057751
MTD2249,SI,23.8843105853,-0.863664381829,291.877746868,300.592045546,-2.30074000923,14.5530098386,8.617e-05,3.89659196524
MTD2250,SI,2.74074403753,0.747533366388,295.131956803,297.27614832,0.0002665103044,5.94518742606,8.617e-05,16.7054220181
MTD2251,SI,1.88757349111,0.640081889054,281.279394713,299.388286473,-41.4335721171,6.21181974618,8.617e-05,9.23241695835
MTD2252,SI,1.37328522868,1.05781926962,289.141188457,301.952995053,0.61331741788,7.01805508403,8.617e-05,21.6052387917
MTD2253,SI,0.799886507863,1.66264666746,289.152825144,297.541124225,0.912206447218,4.23062020673,8.617e-05,21.2691860245
MTD2254,SI,0.905373069909,1.61926186623,289.094648435,298.801645293,1.02955634188,5.4415733163,8.617e-05,21.3122306937
MTD2255,SI,33.2327506286,-0.814759022245,296.410314172,305.405365426,-2.14621011566,12.0946666426,8.617e-05,9.84417457578
MTD2256,SI,1.1650905776,1.80084373959,285.665533142,294.68450547,0.967518175575,3.4275425457,8.617e-05,17.5374911134
MTD2257,SI,0.878327149473,1.60123953048,291.504235973,295.491703513,0.804444361989,3.01516363214,8.617e-05,19.7538196155
MTD2258,SI,0.828981830238,1.80264504023,290.192241527,295.100415973,1.04185084458,3.33521547866,8.617e-05,9.16779116315
MTD2259,SI,1.05283002141,1.30097161734,289.373035769,300.836864896,0.785319618602,6.17086781943,8.617e-05,24.3724056289
MTD2260,SI,1.33003354711,1.18793893835,288.341458658,301.027960839,0.720490486555,7.99852266441,8.617e-05,16.2032789197
MTD2261,SI,5.60143632112,-0.0920155645083,290.141914979,304.035932341,-1.64008288746,7.79248082873,8.617e-05,8.46711310344
MTD2262,SI,0.981869357653,1.7415830134,287.911322264,297.434814081,1.03551739068,4.9337157765,8.617e-05,28.072661225
MTD2263,SI,1.18834978187,1.15077539243,291.202839086,302.744229636,0.920705222976,11.6491793382,8.617e-05,29.4317355836
MTD2264,SI,1.19691234629,1.64734242649,288.11125097,297.481868826,0.98131205114,4.75902865947,8.617e-05,27.220052315
MTD2265,SI,1.18121397513,0.631190475808,282.223040905,302.470197391,-3.46019622303,6.89865803199,8.617e-05,11.244104325
MTD2266,SI,0.769768493589,1.61942893302,289.131551693,299.251596671,1.04756039881,5.98588605184,8.617e-05,20.0860759301
MTD2267,SI,1.09414756256,0.832091500508,293.933321843,318.568899789,0.906045126398,7.60282097393,8.617e-05,36.9341906018
MTD2268,SI,-12.7884399984,16.0229045006,1002.99645931,348.421450359,-21.6586784256,29.2765099209,8.617e-05,51.0602420915
MTD2269,SI,-1725.11669173,-530.562978173,30973.6399746,12763.219785,-481.614898048,576.852735016,8.617e-05,53.572288234
MTD2270,SI,1.2175428305,1.34997394831,287.994511153,299.822264212,0.860606411428,6.7413014249,8.617e-05,12.9191634106
